"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26"
"1","effect","approach","manag","financ","reform","capac","process","subproject","compon","govern","monitor","valid","sector","road","loan","implement","improv","communiti","cost","oper","design","perform","provid","stage","implement","fund"
"2","requir","design","implement","financi","polici","develop","addit","servic","note","develop","evalu","identifi","financi","work","fund","agenc","area","activ","futur","sustain","plan","contractor","relev","design","delay","invest"
"3","local","sector","process","develop","support","assist","good","select","achiev","ensur","impact","agre","bank","import","condit","execut","govern","infrastructur","consid","institut","construct","contract","health","cycl","prepar","manag"
"4","time","realist","system","poor","action","technic","general","target","import","success","outcom","concur","includ","ministri","provid","coordin","requir","benefit","learn","due","land","ensur","relat","main","procur","review"
"5","train","base","consult","servic","program","institut","practic","extens","valid","commit","report","resourc","enterpris","benefit","case","staff","local","concur","water","valuabl","resettl","strengthen","add","implement","apprais","recommend"
"6","manag","chang","supervis","microfin","polit","build","institut","level","focus","resourc","system","highlight","privat","intern","approv","manag","attent","involv","estim","procedur","detail","offer","formul","countri","consult","state"
"7","educ","complex","mission","target","time","design","exist","social","address","design","result","minim","small","continu","experi","unit","phase","beneficiari","recoveri","proper","activ","addit","region","issu","earli","identifi"
"8","inform","flexibl","issu","social","ownership","assess","requir","valid","design","involv","implement","institut","lend","includ","care","weak","rehabilit","organ","increas","undertaken","suggest","resourc","includ","modal","avoid","direct"
"9","make","account","time","sustain","strong","aspect","term","agricultur","risk","high","indic","relat","limit","civil","coven","arrang","appli","plan","mainten","cost","environment","understand","resourc","sector","need","annual"
"10","school","success","establish","rural","commit","risk","bid","farmer","market","member","depart","design","credit","effort","term","requir","depart","key","suppli","dilig","acquisit","capabl","technic","section","time","compani"
"11","analysi","support","administr","mechan","framework","includ","competit","number","measur","particip","data","mitig","assess","activ","make","start","import","mobil","tariff","adequ","result","work","object","page","approv","extend"
"12","budget","ensur","resid","ensur","tranch","valid","complet","consider","greater","util","perform","ownership","busi","econom","year","problem","limit","decis","problem","enhanc","peopl","identifi","cooper","relat","complet","issu"
"13","initi","constraint","ensur","hous","law","legal","sourc","clear","save","measur","output","essenti","medium","procedur","assist","ensur","situat","public","staff","drew","site","advanc","offic","adequ","ensur","nam"
"14","major","cluster","role","view","critic","partner","long","compon","actual","nation","meet","futur","lack","reason","long","posit","drawn","ngos","due","effici","facil","assess","stakehold","emerg","schedul","rrp"
"15","base","focus","support","household","assess","complex","standard","high","difficult","place","activ","arrang","econom","framework","signific","discuss","infrastructur","facilit","need","greater","republ","complet","valid","strategi","key","capit"
"16","decentr","technic","involv","relat","base","intervent","affect","research","energi","regard","observ","electr","commerci","expect","agreement","review","reconstruct","group","provid","highlight","feasibl","provis","case","conflict","problem","viet"
"17","engag","care","respons","agre","continu","regulatori","recruit","respons","sound","affect","integr","side","find","expertis","short","counterpart","part","monitor","reflect","fulli","compens","equip","implement","context","stage","specif"
"18","situat","central","rais","demand","legisl","suffici","corpor","technolog","care","highlight","level","smooth","independ","carri","allow","provinci","risk","level","similar","mechan","provid","import","specif","methodolog","govern","concept"
"19","strategi","econom","partner","low","valid","promot","maintain","adopt","proceed","larg","support","term","line","survey","cancel","resist","intervent","contribut","case","difficult","studi","separ","time","partnership","formul","fee"
"20","teacher","context","rigor","success","essenti","depart","natur","demonstr","reduc","point","achiev","note","size","conduct","identifi","analysi","practic","nongovern","issu","transit","import","criteria","defin","post","readi","industri"
