"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12"
"1","improv","rural","manag","road","water","infrastructur","reform","power","urban","educ","manag","rehabilit"
"2","environment","region","urban","irrig","sanit","servic","emerg","govern","financi","communiti","flood","rural"
"3","small","financi","suppli","central","suppli","support","agricultur","provinc","financ","secondari","area","emerg"
"4","public","enterpris","system","north","medium","sustain","railway","train","resourc","citi","basic","health"
"5","airport","support","integr","environ","skill","river","corridor","build","facil","conserv","support","phase"
"6","decentr","invest","coastal","town","transmiss","gujarat","modern","microfin","power","expressway","social","enterpris"
"7","educ","small","phase","guizhou","privat","polici","network","port","rehabilit","energi","water","integr"
"8","metro","upgrad","resourc","provinci","effici","wastewat","health","pradesh","corridor","balochistan","health","restructur"
"9","provinci","groundwat","greater","sindh","resourc","damag","highway","capit","island","care","invest","financ"
"10","technic","transmiss","hous","bank","chi","microfin","guangxi","electrif","market","health","market","smallhold"
"11","capit","vocat","northern","crop","control","municip","fisheri","flood","medium","bahawalpur","subregion","sulawesi"
"12","expressway","minh","econom","fiscal","cluster","nonbank","distribut","leichong","qualiti","basic","town","assist"
"13","assist","railway","public","livelihood","council","agricultur","transport","local","chongq","java","west","expans"
"14","canal","river","state","port","minh","jamuna","control","manila","gansu","access","hydropow","reconstruct"
"15","central","basin","transport","technolog","punjab","land","invest","road","bishkek","capac","protect","administr"
"16","cluster","corpor","carec","tranch","secur","madhya","primari","secondari","capac","earthquak","loan","chi"
"17","coral","financ","crop","anhui","devolv","medan","support","subregion","loan","forestri","region","earthquak"
"18","countercycl","implement","drainag","guangdong","east","recoveri","custom","air","restor","fujian","east","employ"
"19","energi","india","educ","area","fisheri","suppli","nutrit","damag","size","mekong","enhanc","industri"
"20","hebei","irrig","southern","bengal","philippin","tree","penh","enterpris","social","subprogram","mekong","longyan"
